담당자 이름,부서명,제목,등록일,전화번호,조회수,URL
김시윤,경력단절여성지원과,2018년도 경력단절여성등의 경제활동촉진 시행계획,2018-06-04,02-2100-6202,1717,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc500&bbtSn=704739
최수린,여성인력개발과,2018년 3월 여성고용동향,2018-04-24,02)2100-6193,827,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc500&bbtSn=704738
최수린,여성인력개발과,2018년 2월 여성고용동향,2018-04-24,02)2100-6193,389,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc500&bbtSn=704737
최수린,여성인력개발과,2018년 1월 여성고용동향,2018-04-24,02)2100-6193,390,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc500&bbtSn=704736
황선량,성별영향평가과,2017년 한국의 성평등 보고서,2018-02-02,02-2100-6173,4059,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc500&bbtSn=704732
황선량,성별영향평가과,2017년 지역별 성평등 수준 분석 연구,2018-02-02,02-2100-6173,1510,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc500&bbtSn=704731
오미영,여성정책과,제2차 양성평등정책 기본계획(2018~2022),2018-01-31,02)2100-6152,11069,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc500&bbtSn=704730
이현정,여성정책과,양성평등 및 여성사회참여확대 공모사업 시행 공고,2018-01-22,02-2100-6145,1622,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc500&bbtSn=115
정재순,가족정책과,[업무매뉴얼]2018년 지자체 공무원 대상 가족사업 지침설명회 ,2018-01-19,02)2100-6118,226,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc500&bbtSn=704770
황선량,성별영향평가과,"2018년도 성인지예산서, 기금운용계획서(정부안)",2018-01-15,02)2100-6180,1620,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc500&bbtSn=704729
임기량,성별영향평가과,[업무매뉴얼]2018년 성별영향분석평가 지침,2018-01-12,02-2100-6173,229,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc500&bbtSn=704771
황선량,성별영향평가과,2018년 성별영향분석평가 지침,2018-01-12,02)2100-6173,3577,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc500&bbtSn=704728
황선량,성별영향평가과,2018년 성인지 예산서 작성 매뉴얼,2018-01-12,02)2100-6180,1953,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc500&bbtSn=704727
이경연,경력단절여성지원과,[업무매뉴얼]2018년도 여성새로일하기센터 사업 지침,2017-12-29,02-2100-6209,250,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc500&bbtSn=704772
황선량,성별영향평가과,2016년 성별영향분석평가 종합분석 결과보고서,2017-09-05,02-2100-6173,2171,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc500&bbtSn=704722
한수진,여성정책과,2016년도 성평등 정책 연차보고서,2017-09-04,02)2100-6152,2367,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc500&bbtSn=704721
추정민,여성정책과,2017년 양성평등 주간 기념식 행사 주제 동영상,2017-07-07,02)2100-6151,2958,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc500&bbtSn=704719
황선량,성별영향평가과,2017년도 성인지 예산서 및 성인지 기금운용계획서,2017-07-06,02)2100-6180,1653,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc500&bbtSn=704717
송재언,성별영향평가과,2016년 노인복지사업 특정성별영향분석평가,2017-07-05,02)2100-6174,1608,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc500&bbtSn=704716
송재언,성별영향평가과,2016년 농촌종합개발 ODA 사업 특정성별영향분석평가,2017-07-04,02)2100-6174,1284,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc500&bbtSn=704715
송재언,성별영향평가과,2016년 벤처기업 진입 지원정책 특정성별영향분석평가,2017-07-04,02)2100-6174,1265,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc500&bbtSn=704714
송재언,성별영향평가과,2016년 창업지원정책 특정성별영향분석평가 보고서,2017-07-04,02)2100-6174,1454,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc500&bbtSn=704713
송재언,성별영향평가과,2016년 교원 건강증진정책 특정성별영향분석평가,2017-07-04,02)2100-6174,1196,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc500&bbtSn=704712
송재언,성별영향평가과,2016년 지방자치단체 조례(도시건설 재생 환경 안전분야)에 대한 특정성별영향분석평가,2017-07-04,02)2100-6174,1117,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc500&bbtSn=704710
송재언,성별영향평가과,2016년 북한이탈주민 정착지원정책 특정성별영향분석평가,2017-07-04,02)2100-6174,1060,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc500&bbtSn=704709
송재언,성별영향평가과,2016년 학교체육 정책 특정성별영향분석평가 보고서,2017-07-04,02)2100-6174,729,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc500&bbtSn=704708
황선량,성별영향평가과,성인지 결산서 작성 매뉴얼,2017-06-19,02-2100-6180,1983,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc500&bbtSn=95
한수진,여성정책과,제1차 양성평등정책 기본계획(2015~2017) 2017년도 시행계획(지방자치단체),2017-06-12,02)2100-6152,1709,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc500&bbtSn=704707
한수진,여성정책과,제1차 양성평등정책 기본계획(2015~2017) 2017년도 시행계획(중앙행정기관),2017-06-12,02)2100-6152,1539,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc500&bbtSn=704706
유도경,여성인력개발과,여성인력관련 주요통계,2017-04-20,02-2100-6194,2753,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc500&bbtSn=107
추정민,여성정책과,양성평등 방송 프로그램 제작 안내서 ,2017-04-11,02)2100-6151,3826,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc500&bbtSn=704705
임기량,성별영향평가과,2017년 성별영향분석평가 지침,2017-04-10,02-2100-6173,2713,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc500&bbtSn=704702
황선량,성별영향평가과,성인지 예산서 작성 매뉴얼,2017-04-10,02-2100-6180,1934,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc500&bbtSn=703174
임기량,성별영향평가과,한국의 성평등보고서,2017-04-10,02-2100-6173,4260,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc500&bbtSn=124
임기량,성별영향평가과,지역별 성평등 수준분석 연구,2017-04-10,02-2100-6173,2125,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc500&bbtSn=123
정경수,성별영향평가과,2016년 지역별 성평등 수준 분석 연구,2017-03-03,02-2100-6173,1135,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc500&bbtSn=704704
정경수,성별영향평가과,2016년 한국의 성평등보고서,2017-03-03,02-2100-6173,1575,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc500&bbtSn=704703
이경연,경력단절여성지원과,2017년도 여성새로일하기센터 사업지침,2016-12-30,02)2100-6209,2382,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc500&bbtSn=704700
박찬주,성별영향평가과,2016 양성평등주간 기념행사 자료집,2016-10-28,02)2100-6180,1255,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc500&bbtSn=704065
송재언,성별영향평가과,특정 성별영향분석 평가,2016-10-28,02-2100-6174,4304,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc500&bbtSn=100
김영옥,성별영향평가과,성별영향분석평가 종합분석결과보고서,2016-10-28,02-2100-6172,2720,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc500&bbtSn=93
한송이,성별영향평가과,2015년 성별영향분석평가 종합분석 결과보고서,2016-09-12,02)2100-6174,1695,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc500&bbtSn=703690
유도경,여성인력개발과,여성인력 관련 주요통계 (2016년2분기),2016-09-02,02)2100-6194,2391,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc500&bbtSn=703623
한수진,여성정책과,2015년도 양성평등정책 연차보고서,2016-09-01,02)2100-6152,1472,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc500&bbtSn=703614
최소영,경력단절여성지원과,「2016 여성 취창업 지원 종합정보」게시,2016-08-31,02)2100-6206,2228,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc500&bbtSn=703606
안일환,여성정책과,2014년 UNDP 성불평등지수 현황,2016-08-29,02)2100-6148,904,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc500&bbtSn=703563
이현정,여성정책과,2016년 양성평등 및 여성사회참여확대 공모사업 사업지침,2016-08-25,02)2100-6145,643,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc500&bbtSn=703543
한수진,여성정책과,제1차 양성평등정책 기본계획(2015~2017) 2016년도 시행계획(지방자치단체),2016-07-18,02)2100-6152,2602,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc500&bbtSn=703296
한수진,여성정책과,제1차 양성평등정책 기본계획(2015~2017) 2016년도 시행계획(중앙행정기관),2016-07-18,02)2100-6152,3655,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc500&bbtSn=703295
선강희,성별영향평가과,성별영향분석평가의 이해 및 성과,2016-07-15,02)2100-6176,2389,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc500&bbtSn=703271
선강희,성별영향평가과,성별영향분석평가 대국민공모 우수과제(2014~2016년),2016-07-15,02)2100-6176,861,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc500&bbtSn=703270
노영희,성별영향평가과,2015년 성인지 결산서,2016-07-05,02)2100-6177,949,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc500&bbtSn=703173
한수진,여성정책과,양성평등정책 연차보고서,2016-06-15,02-2100-6152,2018,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc500&bbtSn=120
한수진,여성정책과,양성평등정책기본계획 시행계획(지방자치단체),2016-06-15,02-2100-6152,1975,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc500&bbtSn=119
한수진,여성정책과,양성평등정책기본계획 시행계획(중앙행정기관),2016-06-15,02-2100-6152,1579,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc500&bbtSn=118
장유림,여성정책과,양성평등정책 기본계획,2016-06-15,02-2100-6151,4306,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc500&bbtSn=116
김시윤,경력단절여성지원과,"경력단절여성등의 경제활동촉진 기본계획 연도별 시행계획(2016년, 2017년)",2016-06-15,02-2100-6202,2097,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc500&bbtSn=106
김시윤,경력단절여성지원과,경력단절여성등의 경제활동촉진 기본계획,2016-06-15,02-2100-6202,2699,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc500&bbtSn=105
노영희,성별영향평가과,성인지 예산서 작성 매뉴얼,2016-06-15,02-2100-6177,1411,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc500&bbtSn=96
최소영,경력단절여성지원과,여성취창업지원종합정보,2016-06-15,02-2100-6206,1207,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc500&bbtSn=23
한수진,여성정책과,2015 한국의 성평등 보고 홍보물,2016-06-01,02)2100-6152,2167,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc500&bbtSn=702596
이유진,국제협력담당관,제 60차 유엔여성지위원회 참가 결과보고서,2016-05-09,02)2100-6105,988,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc500&bbtSn=702466
유도경,여성인력개발과,여성인력 관련 주요통계(2016년 1분기),2016-04-20,02)2100-6196,1874,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc500&bbtSn=702286
임수연,여성정책과,"생애주기별 인사·조직 관리 종합 안내서 :【앞서가는 기업의 핵심 전략 35】: 일·가정 양립, 여성인재 활용",2016-04-15,02)2100-6163,3322,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc500&bbtSn=702044
박은정,여성인력개발과,2016년 청년여성경력개발지원사업 선정대학 현황,2016-03-16,02)2100-6198,1495,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc500&bbtSn=701841
박은정,여성인력개발과,2016년 청년여성경력개발 프로그램 전문모델,2016-03-16,02)2100-6198,1189,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc500&bbtSn=701840
선강희,성별영향평가과,성별영향분석평가 컨실팅을 위한 안내서,2016-03-02,02)2100-6176,2274,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc500&bbtSn=701771
한수진,여성정책과,2015년 지역별 성평등 수준분석 연구 보고서,2016-02-17,02)2100-6152,3427,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc500&bbtSn=701474
한수진,여성정책과,2015년 한국의 성평등보고서,2016-02-17,02)2100-6152,3900,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc500&bbtSn=701473
선강희,성별영향평가과,2016년 성별영향분석평가센터 운영지침 안내,2016-01-25,02)2100-6176,2042,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc500&bbtSn=701387
박희옥,여성인력개발과,여성인력 관련 주요통계(2015년 4분기),2016-01-22,02)2100-6194,1945,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc500&bbtSn=701369
임재훈,경력단절여성지원과,2016년도 여성새로일하기센터 사업지침,2015-12-31,02)2100-6209,5470,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc500&bbtSn=701273
박찬주,성별영향평가과,"광복 70년사 ""어머니의 힘"" 동영상",2015-11-05,02)2100-6180,1346,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc500&bbtSn=700541
박찬주,성별영향평가과,2015 양성평등주간 기념행사 자료집,2015-11-05,02)2100-6180,2058,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc500&bbtSn=700538
박희옥,여성인력개발과,여성인력 관련 주요통계(2015년 3분기),2015-10-26,02)2100-6194,1402,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc500&bbtSn=700449
노영희,성별영향평가과,2016년도 성인지예산서,2015-10-08,02)2100-6177,2508,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc500&bbtSn=700378
노영희,성별영향평가과,2016년도 성인지예산서 작성 메뉴얼,2015-10-01,02)2100-6177,2013,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc500&bbtSn=700377
한수진,여성정책과,제1차 양성평등정책 기본계획(2015~2017),2015-09-07,02)2100-6152,6594,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc500&bbtSn=700175
노영희,성별영향평가과,2014년도 성인지 결산서,2015-09-01,02)2100-6177,1129,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc500&bbtSn=700376
김진양,성별영향평가과,2014년 성별영향분석평가 종합분석 결과보고서,2015-09-01,02)2100-6173,3110,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc500&bbtSn=697051
임기량,여성정책과,2014년 여성정책 연차보고서,2015-08-28,02)2100-6143,5294,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc500&bbtSn=697036
김소옥,경력단절여성지원과,「2015 여성 취창업 지원 종합정보」게시,2015-08-25,02)2100-6206,3943,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc500&bbtSn=697015
박희옥,여성인력개발과,여성인력 관련 주요통계 (2015년2분기),2015-07-17,02)2100-6194,1687,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc500&bbtSn=696822
김민성,경력단절여성지원과,제2차 경력단절여성등의 경제활동촉진 기본계획(2015~2019) 2015 시행계획,2015-07-13,02)2100-6203,4445,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc500&bbtSn=696744
안일환,여성정책과,제4차 여성정책기본계획('13~'17) 14년 추진실적 및 15년 시행계획(지방자치단체),2015-06-30,02)2100-6148,3246,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc500&bbtSn=696996
안일환,여성정책과,제4차 여성정책기본계획('13~'17) 14년 추진실적 및 15년 시행계획(중앙행정기관),2015-06-30,02)2100-6148,3697,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc500&bbtSn=696995
박희옥,여성인력개발과,여성인력 관련 주요통계(2015년1분기),2015-04-22,02)2100-6194,2594,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc500&bbtSn=696344
최소영,국제협력담당관,제 59차 유엔여성지위원회 참가 결과보고서,2015-04-20,02)2100-6105,1140,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc500&bbtSn=696533
김소옥,경력단절여성지원과,2014 경력단절여성 취업지원사업 우수사례집,2015-04-14,02)2100-6206,4178,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc500&bbtSn=696245
박은정,여성인력개발과,2015년 여대생커리어개발지원사업 전문모델,2015-03-04,02)2100-6198,1074,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc500&bbtSn=695794
박은정,여성인력개발과,2015년 여대생커리어개발지원사업 선정대학 현황,2015-03-04,02)2100-6198,1535,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc500&bbtSn=695793
박희옥,여성인력개발과,여성인력 관련 주요통계(2014년),2015-02-25,02)2100-6194,1653,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc500&bbtSn=695746
노영희,성별영향평가과,2014년도 성인지결산서 작성 메뉴얼,2015-02-02,02)2100-6177,981,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc500&bbtSn=700375
박희옥,여성인력개발과,여성인력 관련 주요통계(2014년 4분기),2015-01-27,02)2100-6194,1469,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc500&bbtSn=695637
오문희,여성정책과,2014년 한국의 성평등보고서,2015-01-27,02)2100-6151,5327,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc500&bbtSn=695630
오문희,여성정책과,2014년 지역별 성평등 수준분석 연구 보고서,2015-01-27,02)2100-6151,5817,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc500&bbtSn=695629
김지연,경력단절여성지원과,2015년도 여성새로일하기센터 사업지침,2015-01-19,02)2100-6206,5583,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc500&bbtSn=695582
이연희,여성정책과,2014 여성단체 현황,2015-01-06,02)2100-6147,4766,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc500&bbtSn=695553
이정연,경력단절여성지원과,제2차 경력단절여성등의 경제활동촉진 기본계획(2015~2019),2014-12-26,02)2100-6202,6647,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc500&bbtSn=695512
이정연,경력단절여성지원과,제2차 경력단절여성등의 경제활동촉진 기본계획(2015~2019),2014-12-26,02)2100-6202,6712,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc500&bbtSn=695511
윤남이,여성정책과,2013년 UNDP 성불평등지수 현황,2014-12-03,02)2100-6148,2879,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc500&bbtSn=695381
노영희,성별영향평가과,2013년도 성인지 결산서 작성매뉴얼,2014-11-05,02)2100-6177,1125,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc500&bbtSn=695056
노영희,성별영향평가과,2013년도 성인지결산서,2014-11-05,02)2100-6177,1730,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc500&bbtSn=695055
노영희,성별영향평가과,2015년도 성인지예산서 작성 매뉴얼,2014-11-05,02)2100-6177,2410,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc500&bbtSn=695054
노영희,성별영향평가과,2015년도 성인지예산서,2014-11-05,02)2100-6177,3206,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc500&bbtSn=695053
박희옥,여성인력개발과,여성인력 관련 주요 통계(2014년 3분기),2014-10-28,02)2100-6194,3202,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc500&bbtSn=695016
최소영,국제협력담당관,제58차 유엔 여성지위위원회(CSW) 결과보고서,2014-10-28,02)2100-6105,1812,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc500&bbtSn=695015
김수현,경력단절여성지원과,제1차 경력단절여성등의 경제활동촉진 기본계획(2010~2014) 2014년도 시행계획,2014-10-27,02)2100-6203,4795,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc500&bbtSn=695005
임재훈,여성정책과,2013년 여성정책 연차보고서,2014-10-15,02)2100-6143,7001,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc500&bbtSn=694931
조영오,경력단절여성지원과,2014년도 여성 취.창업 지원 종합정보,2014-10-01,02)2100-6205,3026,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc500&bbtSn=694887
조의성,성별영향평가과,2013년 성별영향분석평가 종합분석 결과보고서,2014-09-25,02)2100-6173,4064,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc500&bbtSn=694859
박희옥,여성인력개발과,여성인력 관련 주요통계 (2014년 2분기),2014-08-12,02)2100-6194,1987,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc500&bbtSn=694706
김지연,경력단절여성지원과,2014년도 유형별 여성새로일하기센터 사업운영지침,2014-07-16,02)2100-6206,3359,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc500&bbtSn=694586
박은정,여성인력개발과,2014년 여대생커리어개발지원사업 전문모델,2014-07-02,02)2100-6198,1130,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc500&bbtSn=694557
박은정,여성인력개발과,2014년 여대생커리어개발지원사업 선정대학 현황,2014-07-02,02)2100-6198,1305,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc500&bbtSn=694556
박희옥,여성인력개발과,제2차 여성인력개발종합계획 2014년도 시행계획,2014-06-25,02)2100-6194,2605,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc500&bbtSn=694531
박희옥,여성인력개발과,여성인력 관련 주요통계(2014년 1분기),2014-05-27,02)2100-6194,1991,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc500&bbtSn=694397
오문희,여성정책과,2013 한국의 성평등 보고 홍보물,2014-05-09,02)2075-4633,5071,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc500&bbtSn=694302
김수현,경력단절여성지원과,2014년도 경력단절여성등의 경제활동촉진 시행계획,2014-04-30,02)2100-6203,1494,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc500&bbtSn=694967
김수현,경력단절여성지원과,2013년 경력단절여성등의 경제활동 실태조사 결과 보고서,2014-04-04,02)2100-6203,3988,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc500&bbtSn=694207
오문희,여성정책과,여성1호 사례모음집,2014-03-18,02)2075-4633,4421,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc500&bbtSn=693942
오문희,여성정책과,2013년 지역별 성평등 수준분석 연구,2014-03-07,02)2075-4633,5325,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc500&bbtSn=693910
오문희,여성정책과,2013년 한국의 성평등보고서,2014-03-07,02)2075-4633,5195,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc500&bbtSn=693909
조윤예,경력단절여성지원과,2014년 여성새로일하기센터 사업지침,2014-03-05,02)2100-6204,4548,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc500&bbtSn=693896
박희옥,여성인력개발과,여성인력 관련 주요통계(2013년),2014-02-13,02)2075-4669,2426,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc500&bbtSn=693688
조윤예,경력단절여성지원과,('14.02.04현재) 여성새로일하기센터 현황,2014-02-04,02-2100-6204,2641,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc500&bbtSn=693650
전대규,경력단절여성지원과,새일센터 홍보 동영상(5분 10초),2013-12-23,02-2100-6203,2089,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc500&bbtSn=693507
전대규,경력단절여성지원과,새일센터 홍보 동영상(30초),2013-12-23,02-2100-6203,1590,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc500&bbtSn=693506
박희옥,여성인력개발과,시간선택제 일자리 도입운영 안내서 및 홍보 리플렛 입니다.,2013-12-05,02)2075-4669,2777,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc500&bbtSn=693427
박희옥,여성인력개발과,여성인력 관련 주요통계(2013년 3분기),2013-11-18,02)2075-4669,3466,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc500&bbtSn=693224
윤지현,경력단절여성지원과,('13.11.12 기준) 여성새로일하기센터 현황,2013-11-12,02)2075-4676,1986,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc500&bbtSn=693210
최훈,여성정책과,2012년 여성정책 연차보고서,2013-11-01,02)2075-4638,8984,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc500&bbtSn=693179
박희옥,여성인력개발과,2013년 제3차 여성인력정책포럼 자료집,2013-10-02,02)2075-4669,3203,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc500&bbtSn=692922
박희옥,여성인력개발과,2013년 제2차 여성인력정책포럼 자료집,2013-10-02,02)2075-4669,2366,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc500&bbtSn=692921
박희옥,여성인력개발과,2013년 제1차 여성인력정책포럼 자료집,2013-10-02,02)2075-4669,2220,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc500&bbtSn=692920
최소영,국제협력담당관,제57차 유엔여성지위위원회 참가보고서입니다.,2013-10-02,02)2075-4614,6353,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc500&bbtSn=692917
최소영,국제협력담당관,제56차 유엔여성지위위원회 참가보고서입니다.,2013-10-02,02)2075-4614,1783,http://www.mogef.go.kr/mp/pcd/mp_pcd_s001d.do?mid=plc500&bbtSn=692916
